('P1_a ', 'Idade');GENERO binário;EXPERIÊNCIA PREJUDICADA SIM OU NAO;CARGOS numéricamente;MÉDIA FAIXA SALARIAL;NÍVEL COM NÚMEROS ORDINAIS;('P2_k ', 'Você está satisfeito na sua empresa atual?');PRETENDE SAIR SIM OU NAO - TARGET;ESTOU NA FORMA DE TRABALHO IDEAL?
36;1;0;5;10000;1;1;1;0
31;1;0;1;10000;2;1;1;1
32;1;0;4;7000;1;1;1;0
29;1;0;1;5000;0;1;1;1
30;0;1;1;5000;1;1;1;0
28;1;0;4;7000;1;1;0;0
44;1;0;1;18000;2;1;0;1
30;0;1;1;10000;2;1;1;0
28;1;0;9;3500;0;0;1;1
22;1;0;1;1500;0;1;1;0
33;0;1;1;10000;2;1;1;1
28;1;0;4;14000;2;1;0;1
31;1;0;9;3500;0;0;1;0
33;1;0;1;14000;2;1;1;1
27;1;0;1;2500;0;1;1;1
24;0;1;4;10000;1;1;1;1
26;1;0;1;10000;2;1;1;1
20;1;0;1;3500;0;1;1;0
31;1;1;4;7000;1;0;1;0
40;1;0;7;7000;2;1;1;0
30;1;0;9;3500;0;0;1;0
32;1;0;1;7000;0;1;1;1
25;1;0;1;2500;0;1;1;1
28;1;0;1;14000;2;1;1;0
30;0;1;7;18000;2;1;1;0
29;0;1;1;5000;0;1;0;0
37;1;0;1;7000;2;0;1;1
19;1;0;4;1500;0;1;1;0
32;1;0;4;10000;2;1;0;1
25;1;0;9;5000;0;1;1;1
33;0;1;1;10000;2;1;1;1
35;1;0;1;14000;2;1;1;1
38;1;0;1;14000;2;1;1;1
24;0;1;3;5000;1;1;1;0
31;0;1;1;14000;2;1;0;1
28;1;1;1;2500;1;1;1;0
32;1;0;1;10000;1;1;1;1
27;1;0;1;7000;2;0;1;0
31;0;1;3;5000;1;1;1;1
33;1;0;1;3500;1;0;1;1
47;1;0;1;10000;2;1;1;0
29;1;0;1;5000;2;1;1;0
41;1;0;7;22500;2;1;0;0
33;1;0;4;18000;2;1;1;0
23;1;0;2;1500;0;1;0;1
27;1;0;4;5000;1;1;1;1
26;1;0;4;14000;2;1;1;0
29;1;0;9;10000;2;1;1;1
25;1;0;1;10000;1;1;0;1
34;1;0;1;7000;2;0;1;0
29;0;1;1;2500;0;1;1;1
26;1;0;1;10000;2;1;1;1
32;1;0;4;5000;0;1;1;1
26;0;1;4;18000;2;1;1;0
34;1;0;1;45000;2;1;1;1
40;1;1;7;3500;1;1;1;0
38;1;0;1;7000;1;1;1;0
25;0;0;9;7000;1;1;1;0
26;1;0;9;1500;1;0;1;0
23;0;1;4;5000;1;1;0;1
43;1;0;4;10000;2;1;1;1
39;1;0;9;5000;0;0;1;0
69;1;0;0;22500;2;1;1;0
37;1;0;4;14000;1;1;0;1
27;0;1;4;3500;1;0;1;1
27;1;0;1;22500;2;1;1;0
35;1;0;1;10000;2;1;0;1
27;1;0;4;3500;1;1;1;0
25;1;0;1;10000;2;1;1;1
41;1;0;4;22500;2;1;1;1
36;1;0;9;5000;1;1;0;0
34;1;0;4;7000;2;1;1;1
28;0;1;1;10000;1;1;1;1
42;1;0;5;14000;2;0;1;0
23;1;0;1;5000;0;0;1;1
31;1;0;1;3500;0;0;1;1
21;0;0;1;2500;0;1;1;0
29;0;0;4;10000;2;1;1;0
