Sigla;Código;Região;Rendimento médio real.trabalho principal.efetivo - homem (2023 T3);Rendimento médio real.trabalho principal.efetivo - mulher (2023 T3);Rendimento médio real.trabalho principal.habitual - homem (IBGE/Pnad Contínua) (2023 T3);Rendimento médio real.trabalho principal.habitual - mulher (IBGE/Pnad Contínua) (2023 T3);Rendimento médio real.todos trabalhos.efetivo - homem (IBGE/Pnad Contínua) (2023 T3);Rendimento médio real.todos trabalhos.efetivo - mulher (IBGE/Pnad Contínua) (2023 T3);Rendimento médio real.todos trabalhos.habitual - homem (IBGE/Pnad Contínua) (2023 T3);Rendimento médio real.todos trabalhos.habitual - mulher (IBGE/Pnad Contínua) (2023 T3);Média de horas trabalhadas.trabalho principal.habitual - homem (2023 T3);
CO;5;Região Centro-oeste;4070;2983;3974;2924;4169;3038;4083;2981;41,7;
N;1;Região Norte;2508;2190;2490;2154;2592;2260;2575;2226;39,2;
NE;2;Região Nordeste;2122;1882;2113;1864;2195;1958;2188;1940;38,5;
S;4;Região Sul;3709;2836;3697;2807;3783;2912;3777;2885;41,8;
SE;3;Região Sudeste;3902;2978;3841;2953;4000;3062;3940;3038;41,8;
