Sigla;Código;Região;Média de horas trabalhadas.trabalho principal.efetivo - homem (2023 T3);Média de horas trabalhadas.trabalho principal.efetivo - mulher (2023 T3);Média de horas trabalhadas.trabalho principal.habitual - homem (2023 T3);Média de horas trabalhadas.trabalho principal.habitual - mulher (2023 T3);Média de horas trabalhadas.todos trabalhos.efetivo - homem (2023 T3);Média de horas trabalhadas.todos trabalhos.efetivo - mulher (2023 T3);Média de horas trabalhadas.todos trabalhos.habitual - homem (IBGE/Pnad Contínua) (2023 T3);Média de horas trabalhadas.todos trabalhos.habitual - mulher (IBGE/Pnad Contínua) (2023 T3);
CO;5;Região Centro-oeste;41;36;41,7;37,4;41,5;36,5;42,3;37,8;
N;1;Região Norte;38;33,4;39,2;35;38,6;34;39,8;35,6;
NE;2;Região Nordeste;37,6;33,1;38,5;34,3;38,2;33,8;39,1;34,9;
S;4;Região Sul;40,7;36,5;41,8;37,9;41,2;37,1;42,3;38,5;
SE;3;Região Sudeste;40,8;36,1;41,8;37,5;41,4;36,6;42,4;38,1;
