Sigla;Código;Região;Média de horas trabalhadas.trabalho principal.habitual - homem (2023 T2);Taxa de participação - homem (IBGE/Pnad Contínua) (2023 T2);Taxa de participação - mulher (IBGE/Pnad Contínua) (2023 T2);Taxa de desemprego - homem (IBGE/Pnad Contínua) (2023 T2);Taxa de desemprego - mulher (IBGE/Pnad Contínua) (2023 T2);Taxa subutilização da força de trabalho - homem (IBGE/Pnad Contínua) (2023 T2);Taxa subutilização da força de trabalho - mulher (IBGE/Pnad Contínua) (2023 T2);
CO;5;Região Centro-oeste;42;77,7;57,7;4,5;7,2;8,1;15,1;
N;1;Região Norte;38,9;71,2;48,1;6,6;10,3;16,5;26,8;
NE;2;Região Nordeste;38,7;64,9;43,3;9,7;13,6;24,5;34,3;
S;4;Região Sul;42;74,5;57,4;4;5,5;7,6;12,7;
SE;3;Região Sudeste;41,9;74;55,6;6,8;9,3;12,1;18,6;
