Sigla;Código;Região;Média de horas trabalhadas.trabalho principal.efetivo - homem (2023 T1);Média de horas trabalhadas.trabalho principal.efetivo - mulher (2023 T1);Média de horas trabalhadas.trabalho principal.habitual - homem (2023 T1);Média de horas trabalhadas.trabalho principal.habitual - mulher (2023 T1);Média de horas trabalhadas.todos trabalhos.efetivo - homem (2023 T1);Média de horas trabalhadas.todos trabalhos.efetivo - mulher (2023 T1);Média de horas trabalhadas.todos trabalhos.habitual - homem (IBGE/Pnad Contínua) (2023 T1);Média de horas trabalhadas.todos trabalhos.habitual - mulher (IBGE/Pnad Contínua) (2023 T1);
CO;5;Região Centro-oeste;40,9;35,8;42,2;37,7;41,4;36,3;42,7;38,2;
N;1;Região Norte;37,7;33,9;38,9;35,2;38,2;34,4;39,5;35,7;
NE;2;Região Nordeste;37,5;33,2;38,8;34,9;38;33,8;39,3;35,6;
S;4;Região Sul;40,6;36,1;42;38,2;41,1;36,6;42,6;38,8;
SE;3;Região Sudeste;40,5;35,8;42,1;37,8;40,9;36,3;42,6;38,3;
