Sigla;Código;Região;Rendimento médio real.trabalho principal.efetivo - homem (2023 T1);Rendimento médio real.trabalho principal.efetivo - mulher (2023 T1);Rendimento médio real.trabalho principal.habitual - homem (IBGE/Pnad Contínua) (2023 T1);Rendimento médio real.trabalho principal.habitual - mulher (IBGE/Pnad Contínua) (2023 T1);Rendimento médio real.todos trabalhos.efetivo - homem (IBGE/Pnad Contínua) (2023 T1);Rendimento médio real.todos trabalhos.efetivo - mulher (IBGE/Pnad Contínua) (2023 T1);Rendimento médio real.todos trabalhos.habitual - homem (IBGE/Pnad Contínua) (2023 T1);Rendimento médio real.todos trabalhos.habitual - mulher (IBGE/Pnad Contínua) (2023 T1);Média de horas trabalhadas.trabalho principal.habitual - homem (2023 T1);
CO;5;Região Centro-oeste;4187;3155;3882;2857;4301;3244;4000;2942;42,2;
N;1;Região Norte;2568;2278;2416;2112;2641;2349;2484;2178;38,9;
NE;2;Região Nordeste;2225;2022;2095;1876;2309;2118;2178;1967;38,8;
S;4;Região Sul;3934;3089;3609;2761;4018;3159;3697;2830;42;
SE;3;Região Sudeste;4119;3215;3773;2881;4206;3300;3861;2966;42,1;
