"('P0', 'id')","('P1_b ', 'Genero')","('P1_f_1', 'Quantidade de oportunidades de emprego/vagas recebidas')","('P1_i ', 'Estado onde mora')","('P2_f ', 'Cargo Atual')"
0beob0vw5kuacjool0w0beobkbzsh06f,Masculino,,São Paulo (SP),Analista de Dados/Data Analyst
0bj58kvonhsptf90bj5ldaxfkdm013kt,Masculino,0.0,Goiás (GO),Analista de BI/BI Analyst
0bulrqnzwpth2g6rcf0bulrqr6hfwmhx,Feminino,0.0,Pernambuco (PE),Engenheiro de Dados/Arquiteto de Dados/Data Engineer/Data Architect
0bzkjj29s204r00bzkuifih8t0n4shmd,Masculino,,,Cientista de Dados/Data Scientist
0c61ipysz17kckyll0c61ivgliw391vr,Masculino,1.0,Distrito Federal (DF),Analytics Engineer
0czmmsqic3e0czzgfpcxcmlvopm6lzgf,Feminino,0.0,São Paulo (SP),Outra Opção
0ddxnylpynv0fgc72nuiy0ddx2np8hvc,Feminino,0.0,Paraná (PR),Engenheiro de Dados/Arquiteto de Dados/Data Engineer/Data Architect
0dkjjbum7c9eeyyr0dkjusywtxxirtxf,Masculino,0.0,Pernambuco (PE),Engenheiro de Dados/Arquiteto de Dados/Data Engineer/Data Architect
0dmgnvaor1n4kwg0dofeq0cvtz9wszxp,Masculino,,São Paulo (SP),Cientista de Dados/Data Scientist
0dqlwrfgpu6hl40dq03c11aoxyrkddtt,Masculino,,São Paulo (SP),Analista de BI/BI Analyst
0dverwvn6qvm84sj0dverwv1jhbj8uhf,Masculino,,Minas Gerais (MG),Analista de Dados/Data Analyst
0e5jp063qgcme6ly0e5j1oqs6sdw53oi,Masculino,1.0,Espírito Santo (ES),Engenheiro de Dados/Arquiteto de Dados/Data Engineer/Data Architect
0e6w1fl8ezu3h7bnef0e6w1fl8ekby7x,Masculino,,Rio Grande do Sul (RS),Cientista de Dados/Data Scientist
0ei02mf5qxmda4g0ei02noz2n3ozbmns,Feminino,,Espírito Santo (ES),Outra Opção
0es5j6zi3eta53c3alanv0es5j6zm7bp,Masculino,0.0,São Paulo (SP),
0etlg34j0c2aa5gxkx0etlgl5085l8cl,Masculino,,Paraná (PR),Cientista de Dados/Data Scientist
0fqm46sjwi4favsmqvl0fqm46s98elu7,Masculino,,São Paulo (SP),
0fy84aoyul0t71eaqln0fyfp4p5e8glp,Feminino,1.0,Rio Grande do Sul (RS),Economista
0g42rq6g6p2q873xia8y0g42x4n8upzt,Masculino,,Paraná (PR),Engenheiro de Dados/Arquiteto de Dados/Data Engineer/Data Architect
0gegw5q7g3lykqzh1jrvp0gegw55wg08,Feminino,,Bahia (BA),
0ghkr6f66sdb6irt0c0ghk9s6mjqabxz,Masculino,1.0,Rio Grande do Sul (RS),Analista de Dados/Data Analyst
0gn3aonvi5bf7v0gditzg8sz142fxclo,Masculino,,Mato Grosso (MT),Analista de BI/BI Analyst
0gqoessq550geoi56otja8nxkzhl2yoe,Masculino,,São Paulo (SP),Analista de Dados/Data Analyst
0gxlcto118vdsq0gxlcaonsk0utw8n0y,Masculino,,Rio de Janeiro (RJ),Engenheiro de Dados/Arquiteto de Dados/Data Engineer/Data Architect
0h9s4p0a05whv290h9sq91aarxgafcha,Feminino,,Rio de Janeiro (RJ),Analista de Negócios/Business Analyst
0hc6qwa1z9mz3aeb0hc6qwn21gsvs4u3,Masculino,,São Paulo (SP),Engenheiro de Dados/Arquiteto de Dados/Data Engineer/Data Architect
0i6712vqjj653m0i670gfwnl6ta7qnic,Feminino,1.0,Rio Grande do Sul (RS),Engenheiro de Dados/Arquiteto de Dados/Data Engineer/Data Architect
0id8eghh68cl1w98pk0id8ep67ng3t9n,Masculino,,Paraná (PR),Analista de BI/BI Analyst
0ig66tffh8xm8bmo0ig61rg4eh0vfx85,Masculino,,Piauí (PI),
0iozjnemmmz54m3nq0iozjnzm4poermp,Masculino,,Rio Grande do Sul (RS),
0j2vm91zj9pfytz27jax0j2vafif1kuv,Masculino,,Paraná (PR),Analista de Suporte/Analista Técnico
0jainribfz6iwp042gdx0jaino4uc71r,Feminino,0.0,São Paulo (SP),
0jc0mij71evva7kn778bz30jc0mijucs,Feminino,0.0,São Paulo (SP),Cientista de Dados/Data Scientist
0jca0nbvqe3ufht9p0jca0dwcapmm8fm,Masculino,,São Paulo (SP),Analista de Suporte/Analista Técnico
0ji2x0gh9fnq4nuej0ji2xknk36lhorh,Masculino,,Distrito Federal (DF),Engenheiro de Dados/Arquiteto de Dados/Data Engineer/Data Architect
0jj9dxfgsq4uhudlwbcs0jj9dxq1k1xm,Masculino,,Espírito Santo (ES),
0jk0bdnu7cufwadn0jk07nuti10opjh8,Masculino,,Espírito Santo (ES),Analista de Dados/Data Analyst
0jlaefa4xwwgk5lfga7gsl0jlaefak5x,Masculino,,Santa Catarina (SC),Analista de Dados/Data Analyst
0jqbuqvb3936balyvfenrstk0jqbuqvb,Masculino,,Santa Catarina (SC),Cientista de Dados/Data Scientist
0k7l1ljbam6kacmu0k7lno7oaf3xmu2d,Masculino,,Rio de Janeiro (RJ),Outra Opção
0kgic0bazt3vuk7t0kgisvop2347hvb2,Masculino,,Paraná (PR),Desenvolvedor/ Engenheiro de Software/ Analista de Sistemas
0kugfu1lh5m23aunu2tn0kugb01gbx3e,Masculino,,Goiás (GO),
0kul7v5qknv9o8qccac0kulrt5fdi7om,Masculino,,São Paulo (SP),
0kyn7c4b5p4ud7arfk4000kynyyy82ec,Feminino,,Pernambuco (PE),Analista de Dados/Data Analyst
0kz3y2ky2wx4fmkhadp0kz3y8y7jrl32,Masculino,,Rio de Janeiro (RJ),Analista de Dados/Data Analyst
0lv0ldegkx1i8xxmet0lvfewlljsvem0,Masculino,,Goiás (GO),Engenheiro de Dados/Arquiteto de Dados/Data Engineer/Data Architect
0lw4azzxw5hfcsb86ack0lw4azz8myxk,Feminino,0.0,São Paulo (SP),
0m9ykattn3c24ri42vxg0m9ykam9lb6n,Masculino,,São Paulo (SP),Analista de Dados/Data Analyst
0mnxtpoxm1cp3wctf9bp0m6esr5ydpkh,Masculino,,São Paulo (SP),Data Product Manager/ Product Manager (PM/APM/DPM/GPM/PO)
0mp2dsmps10vyxahto0mp2ddj4kdfc2s,Feminino,0.0,São Paulo (SP),Outra Opção
0nqzg51pf95l5p55kx0nqznnxpxb3upo,Masculino,,São Paulo (SP),Engenheiro de Dados/Arquiteto de Dados/Data Engineer/Data Architect
0nzwxa69m49bv180hk4fhb0nzwxaznfv,Masculino,,Ceará (CE),Analytics Engineer
0oggobdknd16s8sog3ln4ic0oggobmt1,Masculino,,São Paulo (SP),Analytics Engineer
0ojds5de5ah8vwrpmklt0ojds5dz95kx,Masculino,,São Paulo (SP),Engenheiro de Dados/Arquiteto de Dados/Data Engineer/Data Architect
0on1x4pk2etlhgwbdf0on1x4pb0vfe3a,Masculino,,São Paulo (SP),Analista de BI/BI Analyst
0onjh42eak1akktm7coy0onjho00ittt,Feminino,0.0,Minas Gerais (MG),
0ovocc0chi8jo3q0ovocvj6qmljwtloh,Feminino,1.0,São Paulo (SP),Cientista de Dados/Data Scientist
0owmod4o9zby3ho0owkck31v0w2q45bc,Masculino,,Santa Catarina (SC),Outra Opção
0p2u2nceqzym6fssl92n180p2u2n4uss,Masculino,,São Paulo (SP),
