Idade,Genero,Cor/raca/etnia,PCD,Oportunidade de Progressão de Carreira,UF,Regiao onde mora,Nivel de Ensino,Area de Formação,Situação atual de Trabalho,Setor,Cargo,Nivel,Forma de Trabalho,Atuação
29,Masculino,Branca,Não,,PR,Sul,Graduação/Bacharelado,Outras Engenharias,Empreendedor ou Empregado (CNPJ),Área da Saúde,Cientista de Dados/Data Scientist,Sênior,Modelo 100% remoto,Ciência de Dados
44,Feminino,Branca,Não,1.0,MG,Sudeste,Doutorado ou Phd,Economia/ Administração / Contabilidade / Finanças/ Negócios,Empregado (CLT),Área de Consultoria,,,Modelo híbrido com dias fixos de trabalho presencial,Gestor
25,Feminino,Branca,Não,1.0,SP,Sudeste,Graduação/Bacharelado,Computação / Engenharia de Software / Sistemas de Informação/ TI,Empregado (CLT),Setor Alimentício,Engenheiro de Dados/Arquiteto de Dados/Data Engineer/Data Architect,Júnior,Modelo 100% remoto,Engenharia de Dados
36,Masculino,Branca,Não,,,,Graduação/Bacharelado,Ciências Biológicas/ Farmácia/ Medicina/ Área da Saúde,Empregado (CLT),Setor Alimentício,Analista de Dados/Data Analyst,Júnior,Modelo 100% presencial,Engenharia de Dados
36,Feminino,Parda,Não,1.0,MG,Sudeste,Pós-graduação,Estatística/ Matemática / Matemática Computacional/ Ciências Atuariais,Empregado (CLT),Finanças ou Bancos,,,Modelo 100% presencial,Gestor
46,Masculino,Branca,Não,,SC,Sul,Graduação/Bacharelado,Computação / Engenharia de Software / Sistemas de Informação/ TI,Empregado (CLT),Educação,Professor/Pesquisador,Pleno,Modelo 100% presencial,Análise de Dados
33,Feminino,Parda,Não,0.0,SP,Sudeste,Mestrado,Computação / Engenharia de Software / Sistemas de Informação/ TI,Empregado (CLT),Varejo,Analytics Engineer,Pleno,Modelo híbrido com dias fixos de trabalho presencial,Análise de Dados
30,Masculino,Branca,Não,,SP,Sudeste,Mestrado,Economia/ Administração / Contabilidade / Finanças/ Negócios,Empregado (CLT),Área de Consultoria,Economista,Pleno,Modelo híbrido flexível (o funcionário tem liberdade para escolher quando estar no escritório presencialmente),Ciência de Dados
32,Masculino,Parda,Não,,SP,Sudeste,Não tenho graduação formal,,Empregado (CLT),Área de Consultoria,Desenvolvedor/ Engenheiro de Software/ Analista de Sistemas,Sênior,Modelo 100% remoto,Análise de Dados
38,Masculino,Preta,Não,,SP,Sudeste,Não tenho graduação formal,,Empregado (CLT),Tecnologia/Fábrica de Software,Cientista de Dados/Data Scientist,Sênior,Modelo híbrido com dias fixos de trabalho presencial,Ciência de Dados
36,Masculino,Parda,Não,,SP,Sudeste,Pós-graduação,Economia/ Administração / Contabilidade / Finanças/ Negócios,Empregado (CLT),Setor Alimentício,,,Modelo híbrido flexível (o funcionário tem liberdade para escolher quando estar no escritório presencialmente),Gestor
53,Masculino,Branca,Não,,RS,Sul,Pós-graduação,Ciências Biológicas/ Farmácia/ Medicina/ Área da Saúde,Empregado (CLT),Entretenimento ou Esportes,Professor/Pesquisador,Pleno,Modelo 100% presencial,Outra atuação
23,Masculino,Amarela,Prefiro não informar,,SP,Sudeste,Estudante de Graduação,Outras Engenharias,Empregado (CLT),Marketing,Cientista de Dados/Data Scientist,Pleno,Modelo 100% remoto,Análise de Dados
31,Masculino,Branca,Não,,SP,Sudeste,Pós-graduação,Computação / Engenharia de Software / Sistemas de Informação/ TI,Empregado (CLT),Área da Saúde,Engenheiro de Dados/Arquiteto de Dados/Data Engineer/Data Architect,Sênior,Modelo 100% presencial,Engenharia de Dados
33,Feminino,Branca,Não,,BA,Nordeste,Graduação/Bacharelado,Estatística/ Matemática / Matemática Computacional/ Ciências Atuariais,Empregado (CLT),Área de Consultoria,Analista de Negócios/Business Analyst,Sênior,Modelo 100% remoto,Outra atuação
36,Masculino,Branca,Não,,SC,Sul,Mestrado,Outras Engenharias,Empregado (CLT),Varejo,Analista de Dados/Data Analyst,Pleno,Modelo híbrido com dias fixos de trabalho presencial,Análise de Dados
29,Masculino,Branca,Não,,SP,Sudeste,Pós-graduação,Outras Engenharias,Empregado (CLT),Setor Alimentício,Cientista de Dados/Data Scientist,Sênior,Modelo 100% remoto,Engenharia de Dados
38,Masculino,Branca,Não,,PR,Sul,Graduação/Bacharelado,Economia/ Administração / Contabilidade / Finanças/ Negócios,Empregado (CLT),Indústria,Analista de Dados/Data Analyst,Pleno,Modelo híbrido com dias fixos de trabalho presencial,Análise de Dados
23,Masculino,Branca,Não,,RS,Sul,Graduação/Bacharelado,Computação / Engenharia de Software / Sistemas de Informação/ TI,Empreendedor ou Empregado (CNPJ),Entretenimento ou Esportes,Analista de Dados/Data Analyst,Pleno,Modelo 100% remoto,Análise de Dados
27,Masculino,Branca,Não,,PA,Norte,Mestrado,Química / Física,Empregado (CLT),Área de Consultoria,Analista de Dados/Data Analyst,Pleno,Modelo 100% remoto,Análise de Dados
26,Masculino,Branca,Não,,SP,Sudeste,Mestrado,Estatística/ Matemática / Matemática Computacional/ Ciências Atuariais,Empregado (CLT),Finanças ou Bancos,Cientista de Dados/Data Scientist,Sênior,Modelo híbrido flexível (o funcionário tem liberdade para escolher quando estar no escritório presencialmente),Ciência de Dados
30,Masculino,Parda,Não,,RJ,Sudeste,Pós-graduação,Outras Engenharias,Empregado (CLT),Tecnologia/Fábrica de Software,Engenheiro de Dados/Arquiteto de Dados/Data Engineer/Data Architect,Pleno,Modelo 100% remoto,Engenharia de Dados
26,Feminino,Branca,Não,0.0,PR,Sul,Estudante de Graduação,Computação / Engenharia de Software / Sistemas de Informação/ TI,Empregado (CLT),Setor Alimentício,Analista de BI/BI Analyst,Júnior,Modelo 100% presencial,Análise de Dados
50,Feminino,Parda,Não,1.0,SP,Sudeste,Mestrado,Química / Física,Servidor Público,Educação,Estatístico,Pleno,Modelo 100% presencial,Análise de Dados
23,Feminino,Branca,Não,0.0,MG,Sudeste,Estudante de Graduação,Estatística/ Matemática / Matemática Computacional/ Ciências Atuariais,Empregado (CLT),Área de Consultoria,,,Modelo híbrido com dias fixos de trabalho presencial,Gestor
