Sigla;Código;Região;Rendimento médio real.trabalho principal.efetivo - homem (2023 T4);Rendimento médio real.trabalho principal.efetivo - mulher (2023 T4);Rendimento médio real.trabalho principal.habitual - homem (IBGE/Pnad Contínua) (2023 T4);Rendimento médio real.trabalho principal.habitual - mulher (IBGE/Pnad Contínua) (2023 T4);Rendimento médio real.todos trabalhos.efetivo - homem (IBGE/Pnad Contínua) (2023 T4);Rendimento médio real.todos trabalhos.efetivo - mulher (IBGE/Pnad Contínua) (2023 T4);Rendimento médio real.todos trabalhos.habitual - homem (IBGE/Pnad Contínua) (2023 T4);Rendimento médio real.todos trabalhos.habitual - mulher (IBGE/Pnad Contínua) (2023 T4);Média de horas trabalhadas.trabalho principal.habitual - homem (2023 T4);
CO;5;Região Centro-oeste;4171;3032;4016;2907;4284;3102;4125;2978;41,9;
N;1;Região Norte;2579;2252;2536;2198;2671;2317;2649;2264;38,9;
NE;2;Região Nordeste;2162;1929;2147;1875;2236;2008;2222;1953;38,5;
S;4;Região Sul;3826;2912;3705;2820;3922;2994;3808;2903;42,1;
SE;3;Região Sudeste;4022;3102;3860;2969;4123;3179;3960;3046;41,9;
