Sigla;Código;Região;Média de horas trabalhadas.trabalho principal.habitual - homem (2023 T4);Taxa de participação - homem (IBGE/Pnad Contínua) (2023 T4);Taxa de participação - mulher (IBGE/Pnad Contínua) (2023 T4);Taxa de desemprego - homem (IBGE/Pnad Contínua) (2023 T4);Taxa de desemprego - mulher (IBGE/Pnad Contínua) (2023 T4);Taxa subutilização da força de trabalho - homem (IBGE/Pnad Contínua) (2023 T4);Taxa subutilização da força de trabalho - mulher (IBGE/Pnad Contínua) (2023 T4);
CO;5;Região Centro-oeste;41,9;77,9;58;4,3;7,6;8,5;15,8;
N;1;Região Norte;38,9;71,9;48,8;6,2;10;15,6;25;
NE;2;Região Nordeste;38,5;65,6;43,9;8,7;12,8;24,2;34,1;
S;4;Região Sul;42,1;74,6;57,8;3,6;5,6;7,4;12,2;
SE;3;Região Sudeste;41,9;74,7;56,4;5,7;8,8;11;17,9;
