Sigla;Código;Região;Média de horas trabalhadas.trabalho principal.habitual - homem (2023 T3);Taxa de participação - homem (IBGE/Pnad Contínua) (2023 T3);Taxa de participação - mulher (IBGE/Pnad Contínua) (2023 T3);Taxa de desemprego - homem (IBGE/Pnad Contínua) (2023 T3);Taxa de desemprego - mulher (IBGE/Pnad Contínua) (2023 T3);Taxa subutilização da força de trabalho - homem (IBGE/Pnad Contínua) (2023 T3);Taxa subutilização da força de trabalho - mulher (IBGE/Pnad Contínua) (2023 T3);
CO;5;Região Centro-oeste;41,7;77,6;57;4,3;6,9;8,4;15,6;
N;1;Região Norte;39,2;71,9;47,7;6,4;9,6;15,7;26,4;
NE;2;Região Nordeste;38,5;65,5;44,1;9,1;13,2;24,4;34,7;
S;4;Região Sul;41,8;74,2;56,9;3,8;5,6;7,6;12,6;
SE;3;Região Sudeste;41,8;74,2;55,9;6,2;9;11,2;18,1;
