Sigla;Código;Região;Média de horas trabalhadas.trabalho principal.efetivo - homem (2023 T2);Média de horas trabalhadas.trabalho principal.efetivo - mulher (2023 T2);Média de horas trabalhadas.trabalho principal.habitual - homem (2023 T2);Média de horas trabalhadas.trabalho principal.habitual - mulher (2023 T2);Média de horas trabalhadas.todos trabalhos.efetivo - homem (2023 T2);Média de horas trabalhadas.todos trabalhos.efetivo - mulher (2023 T2);Média de horas trabalhadas.todos trabalhos.habitual - homem (IBGE/Pnad Contínua) (2023 T2);Média de horas trabalhadas.todos trabalhos.habitual - mulher (IBGE/Pnad Contínua) (2023 T2);
CO;5;Região Centro-oeste;41;36;42;37,5;41,6;36,5;42,6;38;
N;1;Região Norte;37,8;33,7;38,9;34,8;38,4;34,3;39,6;35,4;
NE;2;Região Nordeste;37,6;33,5;38,7;34,6;38,2;34,1;39,3;35,2;
S;4;Região Sul;41;36,7;42;38,1;41,5;37,3;42,5;38,7;
SE;3;Região Sudeste;40,8;36,4;41,9;37,7;41,4;36,9;42,6;38,3;
