Idade,Genero,Cor/raca/etnia,PCD,Oportunidade de Progressão de Carreira,UF,Regiao onde mora,Nivel de Ensino,Area de Formação,Situação atual de Trabalho,Setor,Cargo,Nivel,Forma de Trabalho,Atuação
34,0,3,0,1,12,2,4,7,0,3,10,2,0,0
36,0,3,0,1,23,3,2,4,0,2,13,1,2,1
34,1,3,0,0,16,1,5,5,0,10,4,0,0,1
28,1,2,0,0,24,2,2,1,0,3,0,0,2,2
31,1,0,0,0,24,2,4,5,0,11,10,1,0,1
26,1,0,0,1,12,2,2,0,0,10,6,1,2,2
35,1,0,0,1,4,1,3,7,1,15,1,0,0,1
36,1,1,0,0,24,2,3,6,0,8,1,1,2,1
42,1,3,0,0,18,2,3,0,0,19,6,2,2,2
30,1,0,0,0,24,2,1,7,2,7,12,0,1,1
26,1,0,0,0,15,3,2,2,0,3,0,1,2,1
26,0,1,0,1,7,2,1,7,1,11,1,2,2,1
35,0,1,0,1,8,4,1,0,0,14,1,1,1,1
30,1,0,1,0,1,1,2,7,0,19,10,0,2,0
29,0,3,0,1,24,2,3,7,0,19,4,2,2,1
28,1,0,0,0,18,2,1,0,2,10,0,0,2,1
28,0,1,0,1,24,2,2,0,0,6,1,1,0,1
27,1,0,0,0,15,3,2,0,0,6,0,0,2,1
29,1,3,0,1,24,2,3,1,0,3,0,2,2,1
28,1,1,0,0,10,4,2,0,0,19,1,2,1,1
29,1,0,0,1,24,2,3,0,0,19,0,1,2,2
28,0,1,0,0,24,2,1,7,0,3,0,0,2,1
28,1,3,0,1,12,2,2,0,4,14,7,1,2,2
24,1,0,0,1,12,2,2,1,0,3,0,1,1,1
30,1,0,0,1,24,2,4,0,0,19,10,2,0,0
29,1,0,0,1,19,1,3,7,0,4,1,2,2,1
27,0,1,0,0,18,2,1,0,0,2,0,0,0,2
35,1,3,0,1,12,2,3,1,0,3,3,1,0,2
35,1,0,0,0,18,2,2,2,6,13,10,1,2,0
22,0,1,0,0,25,1,2,2,3,2,15,1,1,3
27,1,0,0,0,24,2,2,2,0,10,10,1,0,0
49,0,3,1,0,24,2,3,1,0,3,0,2,0,1
28,0,1,0,1,7,2,2,7,0,14,6,0,2,2
27,0,1,0,1,25,1,3,1,0,10,10,1,1,0
35,1,0,0,0,24,2,3,0,0,19,11,1,2,3
26,1,0,0,1,24,2,3,3,0,16,0,1,0,1
37,1,1,0,1,15,3,3,0,0,7,6,2,0,2
28,1,3,0,1,24,2,3,1,0,19,4,2,2,1
34,1,1,0,1,24,2,2,0,1,10,7,2,2,1
27,1,0,0,1,24,2,3,7,0,19,6,2,0,2
