('P1_a ', 'Idade');('P1_a_1 ', 'Faixa idade');('P1_b ', 'Genero');('P1_c ', 'Cor/raca/etnia');('P1_f ', 'aspectos_prejudicados');;;;('P1_f_4', 'Oportunidades de progressão de carreira');('P1_f_5', 'Velocidade de progressão de carreira');('P1_i ', 'Estado onde mora');('P1_i_1 ', 'uf onde mora');('P1_i_2 ', 'Regiao onde mora');('P2_a ', 'Qual sua situação atual de trabalho?');('P2_b ', 'Setor');('P2_f ', 'Cargo Atual');('P2_l ', 'Qual o principal motivo da sua insatisfação com a empresa atual?');('P2_l_1 ', 'Falta de oportunidade de crescimento no emprego atual');('P2_r ', 'Atualmente qual a sua forma de trabalho?');('P4_a_1 ', 'Atuacao')
24;22-24;Masculino;Parda;;;;;;;São Paulo (SP);SP;Sudeste;Empregado (CLT);Finanças ou Bancos;Analista de Dados/Data Analyst;;;Modelo híbrido flexível (o funcionário tem liberdade para escolher quando estar no escritório presencialmente);Análise de Dados
35;35-39;Feminino;Branca;Atenção dada pelas pessoas diante das minhas opiniões e ideias, Aprovação em processos seletivos/entrevistas, Oportunidades de progressão de carreira, Velocidade de progressão de carreira;;;;1;1;Bahia (BA);BA;Nordeste;Empreendedor ou Empregado (CNPJ);Setor Imobiliário/ Construção Civil;Analista de BI/BI Analyst;;;Modelo híbrido flexível (o funcionário tem liberdade para escolher quando estar no escritório presencialmente);Análise de Dados
44;40-44;Masculino;Branca;;;;;;;Paraná (PR);PR;Sul;Empregado (CLT);Tecnologia/Fábrica de Software;;;;Modelo 100% remoto;Gestor
33;30-34;Feminino;Branca;;;;;;;Minas Gerais (MG);MG;Sudeste;Empreendedor ou Empregado (CNPJ);Filantropia/ONG's;Analista de Dados/Data Analyst;;;Modelo 100% remoto;Análise de Dados
29;25-29;Feminino;Branca;;;;;;;São Paulo (SP);SP;Sudeste;Empregado (CLT);Finanças ou Bancos;Cientista de Dados/Data Scientist;;;Modelo híbrido flexível (o funcionário tem liberdade para escolher quando estar no escritório presencialmente);Ciência de Dados
36;35-39;Feminino;Preta;Atenção dada pelas pessoas diante das minhas opiniões e ideias, Quantidade de oportunidades de emprego/vagas recebidas, Senioridade das vagas recebidas em relação à sua experiência, Aprovação em processos seletivos/entrevistas;;;;0;0;São Paulo (SP);SP;Sudeste;Empregado (CLT);Internet/Ecommerce;Analista de BI/BI Analyst;Falta de oportunidade de crescimento no emprego atual, Salário atual não corresponde ao mercado, Gostaria de receber mais benefícios;1;Modelo híbrido com dias fixos de trabalho presencial;Análise de Dados
31;30-34;Feminino;Prefiro não informar;;;;;;;São Paulo (SP);SP;Sudeste;Empregado (CLT);Tecnologia/Fábrica de Software;Desenvolvedor/ Engenheiro de Software/ Analista de Sistemas;Salário atual não corresponde ao mercado, Gostaria de trabalhar em em outra área de atuação;0;Modelo 100% remoto;Análise de Dados
27;25-29;Masculino;Branca;;;;;;;Minas Gerais (MG);MG;Sudeste;Empregado (CLT);Setor Automotivo;Cientista de Dados/Data Scientist;;;Modelo 100% remoto;Ciência de Dados
34;30-34;Masculino;Branca;;;;;;;São Paulo (SP);SP;Sudeste;Empregado (CLT);Finanças ou Bancos;Analista de Dados/Data Analyst;Falta de maturidade analítica na empresa;0;Modelo híbrido com dias fixos de trabalho presencial;Engenharia de Dados
26;25-29;Feminino;Branca;;;;;;;São Paulo (SP);SP;Sudeste;Empreendedor ou Empregado (CNPJ);Área de Consultoria;;;;Modelo híbrido flexível (o funcionário tem liberdade para escolher quando estar no escritório presencialmente);Gestor
20;17-21;Masculino;Branca;;;;;;;São Paulo (SP);SP;Sudeste;Somente Estudante (graduação);;;;;;Buscando oportunidade na área de dados
25;25-29;Masculino;Branca;;;;;;;Paraná (PR);PR;Sul;Empregado (CLT);Indústria;Cientista de Dados/Data Scientist;;;Modelo 100% remoto;Ciência de Dados
30;30-34;Feminino;Branca;;;;;;;São Paulo (SP);SP;Sudeste;Empregado (CLT);Tecnologia/Fábrica de Software;Engenheiro de Dados/Arquiteto de Dados/Data Engineer/Data Architect;Salário atual não corresponde ao mercado;0;Modelo 100% remoto;Engenharia de Dados
37;35-39;Masculino;Parda;;;;;;;São Paulo (SP);SP;Sudeste;Empregado (CLT);Setor Farmaceutico;Analista de Dados/Data Analyst;"Falta de maturidade analítica na empresa, Gostaria de trabalhar em em outra área de atuação, Empresa longe de casa; trabalho híbrido";0;Modelo híbrido com dias fixos de trabalho presencial;Análise de Dados
29;25-29;Masculino;Branca;;;;;;;Santa Catarina (SC);SC;Sul;Empregado (CLT);Tecnologia/Fábrica de Software;Analista de Negócios/Business Analyst;Falta de maturidade analítica na empresa;0;Modelo híbrido com dias fixos de trabalho presencial;Análise de Dados
27;25-29;Masculino;Branca;;;;;;;São Paulo (SP);SP;Sudeste;Empregado (CLT);Indústria;Analista de Dados/Data Analyst;;;Modelo híbrido com dias fixos de trabalho presencial;Análise de Dados
27;25-29;Masculino;Branca;;;;;;;São Paulo (SP);SP;Sudeste;Empregado (CLT);Finanças ou Bancos;Analista de BI/BI Analyst;;;Modelo híbrido com dias fixos de trabalho presencial;Análise de Dados
42;40-44;Feminino;Parda;Velocidade de progressão de carreira, Atenção dada pelas pessoas diante das minhas opiniões e ideias, Quantidade de oportunidades de emprego/vagas recebidas;;;;0;1;Rio de Janeiro (RJ);RJ;Sudeste;Empregado (CLT);Finanças ou Bancos;Engenheiro de Dados/Arquiteto de Dados/Data Engineer/Data Architect;;;Modelo 100% remoto;Engenharia de Dados
47;45-49;Masculino;Parda;Oportunidades de progressão de carreira;;;;1;0;São Paulo (SP);SP;Sudeste;Empregado (CLT);Varejo;;;;Modelo 100% remoto;Gestor
29;25-29;Masculino;Branca;;;;;;;São Paulo (SP);SP;Sudeste;Empreendedor ou Empregado (CNPJ);Indústria;Analista de Dados/Data Analyst;;;Modelo híbrido com dias fixos de trabalho presencial;Análise de Dados
23;22-24;Masculino;Branca;;;;;;;São Paulo (SP);SP;Sudeste;Empregado (CLT);Indústria;Analista de Dados/Data Analyst;Falta de maturidade analítica na empresa, Falta de oportunidade de crescimento no emprego atual, Salário atual não corresponde ao mercado;1;Modelo 100% remoto;Análise de Dados
30;30-34;Feminino;Branca;Velocidade de progressão de carreira;;;;0;1;São Paulo (SP);SP;Sudeste;Estagiário;Indústria;Outras Engenharias (não inclui dev);;;Modelo 100% presencial;Análise de Dados
31;30-34;Masculino;Preta;Quantidade de oportunidades de emprego/vagas recebidas, Senioridade das vagas recebidas em relação à sua experiência, Aprovação em processos seletivos/entrevistas, Oportunidades de progressão de carreira, Velocidade de progressão de carreira, Nível de cobrança no trabalho / Stress no trabalho, Atenção dada pelas pessoas diante das minhas opiniões e ideias, Relação com outros membros da empresa, em momentos de trabalho, Relação com outros membros da empresa, em momentos de integração e outros momentos fora do trabalho;;;;1;1;Distrito Federal (DF);DF;Centro-oeste;Desempregado, buscando recolocação;;;;;;Buscando oportunidade na área de dados
33;30-34;Masculino;Amarela;;;;;;;São Paulo (SP);SP;Sudeste;Empregado (CLT);Tecnologia/Fábrica de Software;;Não tenho uma boa relação com meu líder/gestor, O clima de trabalho/ambiente não é bom, Falta de maturidade analítica na empresa;0;Modelo 100% remoto;Gestor
26;25-29;Feminino;Branca;Aprovação em processos seletivos/entrevistas, Velocidade de progressão de carreira, Atenção dada pelas pessoas diante das minhas opiniões e ideias, Relação com outros membros da empresa, em momentos de integração e outros momentos fora do trabalho;;;;0;1;Paraná (PR);PR;Sul;Empregado (CLT);Tecnologia/Fábrica de Software;Analista de Dados/Data Analyst;;;Modelo 100% remoto;Análise de Dados
24;22-24;Masculino;Parda;;;;;;;Minas Gerais (MG);MG;Sudeste;Empregado (CLT);Setor Automotivo;Analista de Dados/Data Analyst;;;Modelo híbrido com dias fixos de trabalho presencial;Análise de Dados
41;40-44;Masculino;Branca;;;;;;;Mato Grosso do Sul (MS);MS;Centro-oeste;Vivo no Brasil e trabalho remoto para empresa de fora do Brasil;Setor Automotivo;Engenheiro de Dados/Arquiteto de Dados/Data Engineer/Data Architect;;;Modelo 100% remoto;Engenharia de Dados
22;22-24;Masculino;Parda;;;;;;;Espírito Santo (ES);ES;Sudeste;Empregado (CLT);Setor Alimentício;Engenheiro de Machine Learning/ML Engineer/AI Engineer;;;Modelo 100% remoto;Ciência de Dados
30;30-34;Masculino;Amarela;;;;;;;Minas Gerais (MG);MG;Sudeste;Empregado (CLT);Indústria;Analista de Dados/Data Analyst;Falta de oportunidade de crescimento no emprego atual, Salário atual não corresponde ao mercado, Falta de maturidade analítica na empresa;1;Modelo 100% presencial;Engenharia de Dados
44;40-44;Masculino;Branca;;;;;;;Rio Grande do Sul (RS);RS;Sul;Empregado (CLT);Outra Opção;Cientista de Dados/Data Scientist;;;Modelo 100% remoto;Ciência de Dados
30;30-34;Masculino;Indígena;;;;;;;Mato Grosso (MT);MT;Centro-oeste;Estagiário;Setor Público;Estatístico;;;Modelo híbrido flexível (o funcionário tem liberdade para escolher quando estar no escritório presencialmente);Análise de Dados
26;25-29;Masculino;Preta;Quantidade de oportunidades de emprego/vagas recebidas, Senioridade das vagas recebidas em relação à sua experiência, Aprovação em processos seletivos/entrevistas, Oportunidades de progressão de carreira, Velocidade de progressão de carreira;;;;1;1;Espírito Santo (ES);ES;Sudeste;Empreendedor ou Empregado (CNPJ);Área da Saúde;Analista de BI/BI Analyst;;;Modelo 100% remoto;Análise de Dados
30;30-34;Feminino;Branca;Quantidade de oportunidades de emprego/vagas recebidas, Senioridade das vagas recebidas em relação à sua experiência, Aprovação em processos seletivos/entrevistas, Oportunidades de progressão de carreira, Velocidade de progressão de carreira, Nível de cobrança no trabalho / Stress no trabalho, Atenção dada pelas pessoas diante das minhas opiniões e ideias;;;;1;1;São Paulo (SP);SP;Sudeste;Empregado (CLT);Setor Alimentício;;;;Modelo híbrido flexível (o funcionário tem liberdade para escolher quando estar no escritório presencialmente);Gestor
40;40-44;Masculino;Branca;;;;;;;São Paulo (SP);SP;Sudeste;Empreendedor ou Empregado (CNPJ);Telecomunicação;Engenheiro de Dados/Arquiteto de Dados/Data Engineer/Data Architect;;;Modelo 100% remoto;Engenharia de Dados
36;35-39;Masculino;Parda;;;;;;;Paraná (PR);PR;Sul;Empregado (CLT);Varejo;Data Product Manager/ Product Manager (PM/APM/DPM/GPM/PO);;;Modelo 100% remoto;Engenharia de Dados
38;35-39;Masculino;Branca;;;;;;;São Paulo (SP);SP;Sudeste;Empregado (CLT);Outra Opção;Engenheiro de Dados/Arquiteto de Dados/Data Engineer/Data Architect;;;Modelo híbrido flexível (o funcionário tem liberdade para escolher quando estar no escritório presencialmente);Engenharia de Dados
35;35-39;Masculino;Preta;Oportunidades de progressão de carreira;;;;1;0;Goiás (GO);GO;Centro-oeste;Empregado (CLT);Outra Opção;Analista de BI/BI Analyst;;;Modelo 100% presencial;Análise de Dados
36;35-39;Masculino;Parda;;;;;;;São Paulo (SP);SP;Sudeste;Empregado (CLT);Área de Consultoria;Analista de Dados/Data Analyst;Gostaria de receber mais benefícios;0;Modelo 100% remoto;Análise de Dados
29;25-29;Feminino;Branca;;;;;;;Minas Gerais (MG);MG;Sudeste;Empregado (CLT);Tecnologia/Fábrica de Software;Analista de Negócios/Business Analyst;Falta de oportunidade de crescimento no emprego atual, Salário atual não corresponde ao mercado, Gostaria de receber mais benefícios;1;Modelo 100% remoto;Análise de Dados
32;30-34;Feminino;Branca;Senioridade das vagas recebidas em relação à sua experiência, Relação com outros membros da empresa, em momentos de trabalho, Atenção dada pelas pessoas diante das minhas opiniões e ideias, Nível de cobrança no trabalho / Stress no trabalho;;;;0;0;;;;Empregado (CLT);Agronegócios;Analista de Dados/Data Analyst;;;Modelo 100% remoto;Análise de Dados
23;22-24;Feminino;Parda;;;;;;;Rio de Janeiro (RJ);RJ;Sudeste;Empregado (CLT);Área da Saúde;Cientista de Dados/Data Scientist;;;Modelo híbrido com dias fixos de trabalho presencial;Análise de Dados
25;25-29;Masculino;Branca;;;;;;;Ceará (CE);CE;Nordeste;Empregado (CLT);Setor Alimentício;Analista de Negócios/Business Analyst;Falta de maturidade analítica na empresa, O clima de trabalho/ambiente não é bom;0;Modelo 100% presencial;Análise de Dados
28;25-29;Masculino;Amarela;Atenção dada pelas pessoas diante das minhas opiniões e ideias, Relação com outros membros da empresa, em momentos de trabalho;;;;0;0;São Paulo (SP);SP;Sudeste;Empreendedor ou Empregado (CNPJ);Tecnologia/Fábrica de Software;;;;Modelo 100% remoto;Gestor
63;55+;Masculino;Parda;Senioridade das vagas recebidas em relação à sua experiência;;;;0;0;São Paulo (SP);SP;Sudeste;Somente Estudante (pós-graduação);;;;;;Outra atuação
32;30-34;Masculino;Branca;;;;;;;São Paulo (SP);SP;Sudeste;Empregado (CLT);Finanças ou Bancos;Engenheiro de Dados/Arquiteto de Dados/Data Engineer/Data Architect;;;Modelo 100% remoto;Engenharia de Dados
30;30-34;Feminino;Branca;Aprovação em processos seletivos/entrevistas, Quantidade de oportunidades de emprego/vagas recebidas;;;;0;0;Alagoas (AL);AL;Nordeste;Empregado (CLT);Finanças ou Bancos;Cientista de Dados/Data Scientist;;;Modelo 100% remoto;Ciência de Dados
32;30-34;Masculino;Branca;;;;;;;Minas Gerais (MG);MG;Sudeste;Empregado (CLT);Outra Opção;Engenheiro de Dados/Arquiteto de Dados/Data Engineer/Data Architect;;;Modelo 100% remoto;Engenharia de Dados
29;25-29;Masculino;Parda;Quantidade de oportunidades de emprego/vagas recebidas, Senioridade das vagas recebidas em relação à sua experiência, Aprovação em processos seletivos/entrevistas, Oportunidades de progressão de carreira, Velocidade de progressão de carreira, Atenção dada pelas pessoas diante das minhas opiniões e ideias;;;;1;1;São Paulo (SP);SP;Sudeste;Empregado (CLT);Finanças ou Bancos;Analista de Negócios/Business Analyst;;;Modelo híbrido com dias fixos de trabalho presencial;Análise de Dados
31;30-34;Feminino;Branca;Oportunidades de progressão de carreira, Senioridade das vagas recebidas em relação à sua experiência, Nível de cobrança no trabalho / Stress no trabalho;;;;1;0;Minas Gerais (MG);MG;Sudeste;Empreendedor ou Empregado (CNPJ);Agronegócios;;;;Modelo híbrido flexível (o funcionário tem liberdade para escolher quando estar no escritório presencialmente);Gestor
36;35-39;Masculino;Parda;;;;;;;Santa Catarina (SC);SC;Sul;Empregado (CLT);Finanças ou Bancos;;;;Modelo híbrido flexível (o funcionário tem liberdade para escolher quando estar no escritório presencialmente);Gestor
29;25-29;Feminino;Branca;Quantidade de oportunidades de emprego/vagas recebidas, Aprovação em processos seletivos/entrevistas, Atenção dada pelas pessoas diante das minhas opiniões e ideias, Relação com outros membros da empresa, em momentos de trabalho;;;;0;0;Minas Gerais (MG);MG;Sudeste;Desempregado e não estou buscando recolocação;;;;;;Buscando oportunidade na área de dados
25;25-29;Masculino;Branca;;;;;;;São Paulo (SP);SP;Sudeste;Empregado (CLT);Tecnologia/Fábrica de Software;Analista de Dados/Data Analyst;;;Modelo 100% remoto;Análise de Dados
38;35-39;Masculino;Branca;;;;;;;São Paulo (SP);SP;Sudeste;Vivo no Brasil e trabalho remoto para empresa de fora do Brasil;Tecnologia/Fábrica de Software;;;;Modelo 100% remoto;Gestor
53;50-54;Feminino;Amarela;;;;;;;São Paulo (SP);SP;Sudeste;Empregado (CLT);Indústria;;Carga de trabalho, burocracia, muito alinhamento, estrategia e pouca execução;0;Modelo híbrido flexível (o funcionário tem liberdade para escolher quando estar no escritório presencialmente);Gestor
42;40-44;Masculino;Branca;;;;;;;São Paulo (SP);SP;Sudeste;Empregado (CLT);Finanças ou Bancos;Desenvolvedor/ Engenheiro de Software/ Analista de Sistemas;Falta de maturidade analítica na empresa;0;Modelo híbrido flexível (o funcionário tem liberdade para escolher quando estar no escritório presencialmente);Outra atuação
29;25-29;Masculino;Branca;;;;;;;Rio de Janeiro (RJ);RJ;Sudeste;Vivo no Brasil e trabalho remoto para empresa de fora do Brasil;Setor Imobiliário/ Construção Civil;Analista de BI/BI Analyst;;;Modelo 100% remoto;Análise de Dados
22;22-24;Masculino;Branca;;;;;;;Paraná (PR);PR;Sul;Estagiário;Tecnologia/Fábrica de Software;Analista de BI/BI Analyst;;;Modelo 100% remoto;Análise de Dados
39;35-39;Feminino;Branca;;;;;;;Paraíba (PB);PB;Nordeste;Desempregado, buscando recolocação;;;;;;Buscando oportunidade na área de dados
27;25-29;Masculino;Branca;;;;;;;Santa Catarina (SC);SC;Sul;Empregado (CLT);Tecnologia/Fábrica de Software;Analista de BI/BI Analyst;;;Modelo 100% remoto;Análise de Dados
29;25-29;Masculino;Branca;;;;;;;São Paulo (SP);SP;Sudeste;Empregado (CLT);Setor de Energia;Cientista de Dados/Data Scientist;Salário atual não corresponde ao mercado, Falta de maturidade analítica na empresa, Empresa migrando para o 100% presencial;0;Modelo híbrido com dias fixos de trabalho presencial;Análise de Dados
47;45-49;Feminino;Parda;;;;;;;Ceará (CE);CE;Nordeste;Empregado (CLT);Indústria;;;;Modelo 100% remoto;Gestor
57;55+;Masculino;Parda;;;;;;;Mato Grosso (MT);MT;Centro-oeste;Empreendedor ou Empregado (CNPJ);Setor Imobiliário/ Construção Civil;;;;Modelo híbrido com dias fixos de trabalho presencial;Gestor
32;30-34;Masculino;Branca;;;;;;;Santa Catarina (SC);SC;Sul;Vivo no Brasil e trabalho remoto para empresa de fora do Brasil;Tecnologia/Fábrica de Software;Analytics Engineer;;;Modelo 100% remoto;Análise de Dados
27;25-29;Masculino;Parda;;;;;;;São Paulo (SP);SP;Sudeste;Empregado (CLT);Seguros ou Previdência;Analista de Dados/Data Analyst;;;Modelo híbrido com dias fixos de trabalho presencial;Análise de Dados
60;55+;Masculino;Branca;;;;;;;Rio de Janeiro (RJ);RJ;Sudeste;Empregado (CLT);Tecnologia/Fábrica de Software;;;;Modelo híbrido flexível (o funcionário tem liberdade para escolher quando estar no escritório presencialmente);Gestor
28;25-29;Feminino;Branca;Aprovação em processos seletivos/entrevistas, Atenção dada pelas pessoas diante das minhas opiniões e ideias, Velocidade de progressão de carreira;;;;0;1;Rio de Janeiro (RJ);RJ;Sudeste;Estagiário;Área de Consultoria;Analista de Dados/Data Analyst;;;Modelo 100% remoto;Análise de Dados
42;40-44;Masculino;Parda;;;;;;;Rio de Janeiro (RJ);RJ;Sudeste;Estagiário;Área de Consultoria;Outra Opção;;;Modelo 100% remoto;Outra atuação
29;25-29;Feminino;Branca;;;;;;;Paraná (PR);PR;Sul;Empregado (CLT);Tecnologia/Fábrica de Software;Cientista de Dados/Data Scientist;Salário atual não corresponde ao mercado;0;Modelo 100% remoto;Ciência de Dados
57;55+;Masculino;Branca;;;;;;;São Paulo (SP);SP;Sudeste;Empregado (CLT);Área de Consultoria;Analista de Dados/Data Analyst;;;Modelo 100% remoto;Engenharia de Dados
37;35-39;Masculino;Branca;;;;;;;São Paulo (SP);SP;Sudeste;Vivo no Brasil e trabalho remoto para empresa de fora do Brasil;Tecnologia/Fábrica de Software;;;;Modelo 100% remoto;Gestor
27;25-29;Masculino;Branca;;;;;;;São Paulo (SP);SP;Sudeste;Empregado (CLT);Varejo;Analista de Dados/Data Analyst;Falta de maturidade analítica na empresa, Gostaria de receber mais benefícios;0;Modelo híbrido com dias fixos de trabalho presencial;Análise de Dados
29;25-29;Masculino;Branca;;;;;;;Sergipe (SE);SE;Nordeste;Empregado (CLT);Tecnologia/Fábrica de Software;Cientista de Dados/Data Scientist;;;Modelo 100% remoto;Ciência de Dados
44;40-44;Masculino;Parda;;;;;;;Paraná (PR);PR;Sul;Empregado (CLT);Varejo;Analista de Dados/Data Analyst;;;Modelo 100% remoto;Engenharia de Dados
20;17-21;Masculino;Parda;;;;;;;Pernambuco (PE);PE;Nordeste;Estagiário;Setor Alimentício;Analista de BI/BI Analyst;;;Modelo 100% presencial;Análise de Dados
27;25-29;Masculino;Parda;;;;;;;São Paulo (SP);SP;Sudeste;Empregado (CLT);Finanças ou Bancos;Analista de Negócios/Business Analyst;;;Modelo híbrido com dias fixos de trabalho presencial;Análise de Dados
41;40-44;Masculino;Branca;;;;;;;São Paulo (SP);SP;Sudeste;Empregado (CLT);Varejo;;;;Modelo 100% remoto;Gestor
27;25-29;Masculino;Branca;;;;;;;São Paulo (SP);SP;Sudeste;Empregado (CLT);Seguros ou Previdência;Analista de BI/BI Analyst;;;Modelo híbrido com dias fixos de trabalho presencial;Análise de Dados
29;25-29;Masculino;Branca;;;;;;;São Paulo (SP);SP;Sudeste;Empregado (CLT);Tecnologia/Fábrica de Software;Cientista de Dados/Data Scientist;;;Modelo 100% presencial;Ciência de Dados
28;25-29;Masculino;Preta;Aprovação em processos seletivos/entrevistas, Oportunidades de progressão de carreira, Nível de cobrança no trabalho / Stress no trabalho;;;;1;0;São Paulo (SP);SP;Sudeste;Empregado (CLT);Marketing;Analista de BI/BI Analyst;Falta de maturidade analítica na empresa, O clima de trabalho/ambiente não é bom;0;Modelo híbrido flexível (o funcionário tem liberdade para escolher quando estar no escritório presencialmente);Análise de Dados
51;50-54;Masculino;Parda;;;;;;;Minas Gerais (MG);MG;Sudeste;Empreendedor ou Empregado (CNPJ);Outra Opção;;;;Modelo híbrido com dias fixos de trabalho presencial;Gestor
40;40-44;Masculino;Parda;;;;;;;São Paulo (SP);SP;Sudeste;Empregado (CLT);Agronegócios;Outra Opção;;;Modelo híbrido flexível (o funcionário tem liberdade para escolher quando estar no escritório presencialmente);Análise de Dados
26;25-29;Masculino;Branca;;;;;;;São Paulo (SP);SP;Sudeste;Empregado (CLT);Agronegócios;Desenvolvedor/ Engenheiro de Software/ Analista de Sistemas;;;Modelo híbrido com dias fixos de trabalho presencial;Análise de Dados
25;25-29;Masculino;Branca;;;;;;;Minas Gerais (MG);MG;Sudeste;Empregado (CLT);Finanças ou Bancos;Analista de Dados/Data Analyst;;;Modelo híbrido com dias fixos de trabalho presencial;Ciência de Dados
44;40-44;Masculino;Branca;;;;;;;Paraná (PR);PR;Sul;Empregado (CLT);Setor Farmaceutico;Analista de BI/BI Analyst;Falta de oportunidade de crescimento no emprego atual, O clima de trabalho/ambiente não é bom;1;Modelo 100% presencial;Análise de Dados
30;30-34;Masculino;Branca;;;;;;;Santa Catarina (SC);SC;Sul;Empregado (CLT);Agronegócios;Analista de Dados/Data Analyst;Falta de oportunidade de crescimento no emprego atual, Gostaria de trabalhar em em outra área de atuação, Salário atual não corresponde ao mercado;1;Modelo híbrido com dias fixos de trabalho presencial;Análise de Dados
39;35-39;Masculino;Branca;;;;;;;Bahia (BA);BA;Nordeste;Empreendedor ou Empregado (CNPJ);Outra Opção;Engenheiro de Dados/Arquiteto de Dados/Data Engineer/Data Architect;;;Modelo 100% remoto;Engenharia de Dados
21;17-21;Masculino;Parda;;;;;;;São Paulo (SP);SP;Sudeste;Estagiário;Área de Consultoria;Analista de Dados/Data Analyst;;;Modelo 100% presencial;Análise de Dados
30;30-34;Masculino;Branca;;;;;;;Minas Gerais (MG);MG;Sudeste;Empregado (CLT);Indústria;Cientista de Dados/Data Scientist;;;Modelo 100% remoto;Ciência de Dados
34;30-34;Masculino;Parda;;;;;;;Rio de Janeiro (RJ);RJ;Sudeste;Empregado (CLT);Educação;;;;Modelo 100% presencial;Gestor
26;25-29;Masculino;Preta;;;;;;;Alagoas (AL);AL;Nordeste;Somente Estudante (pós-graduação);;;;;;Buscando oportunidade na área de dados
28;25-29;Masculino;Branca;;;;;;;São Paulo (SP);SP;Sudeste;Empregado (CLT);Finanças ou Bancos;Desenvolvedor/ Engenheiro de Software/ Analista de Sistemas;Não tenho uma boa relação com meu líder/gestor, O clima de trabalho/ambiente não é bom, Gostaria de trabalhar em em outra área de atuação;0;Modelo 100% remoto;Outra atuação
25;25-29;Masculino;Branca;;;;;;;Rio de Janeiro (RJ);RJ;Sudeste;Empregado (CLT);Área da Saúde;Cientista de Dados/Data Scientist;Salário atual não corresponde ao mercado, Gostaria de receber mais benefícios, Excesso de demandas;0;Modelo híbrido com dias fixos de trabalho presencial;Ciência de Dados
31;30-34;Masculino;Branca;;;;;;;Rio Grande do Sul (RS);RS;Sul;Empregado (CLT);Finanças ou Bancos;Analista de Inteligência de Mercado/Market Intelligence;;;Modelo híbrido com dias fixos de trabalho presencial;Análise de Dados
27;25-29;Feminino;Branca;Relação com outros membros da empresa, em momentos de integração e outros momentos fora do trabalho;;;;0;0;Paraná (PR);PR;Sul;Empregado (CLT);Marketing;Analista de Dados/Data Analyst;;;Modelo híbrido com dias fixos de trabalho presencial;Análise de Dados
29;25-29;Feminino;Parda;Quantidade de oportunidades de emprego/vagas recebidas, Senioridade das vagas recebidas em relação à sua experiência, Aprovação em processos seletivos/entrevistas, Oportunidades de progressão de carreira, Velocidade de progressão de carreira, Atenção dada pelas pessoas diante das minhas opiniões e ideias, Relação com outros membros da empresa, em momentos de trabalho, Relação com outros membros da empresa, em momentos de integração e outros momentos fora do trabalho;;;;1;1;São Paulo (SP);SP;Sudeste;Empregado (CLT);Tecnologia/Fábrica de Software;Analista de Dados/Data Analyst;;;Modelo 100% remoto;Análise de Dados
25;25-29;Masculino;Parda;;;;;;;Alagoas (AL);AL;Nordeste;Empregado (CLT);Setor Imobiliário/ Construção Civil;Cientista de Dados/Data Scientist;;;Modelo 100% remoto;Ciência de Dados
37;35-39;Masculino;Branca;;;;;;;Paraná (PR);PR;Sul;Empregado (CLT);Varejo;Analista de Dados/Data Analyst;;;Modelo 100% remoto;Análise de Dados
28;25-29;Feminino;Preta;Quantidade de oportunidades de emprego/vagas recebidas, Relação com outros membros da empresa, em momentos de trabalho, Relação com outros membros da empresa, em momentos de integração e outros momentos fora do trabalho, Atenção dada pelas pessoas diante das minhas opiniões e ideias;;;;0;0;Mato Grosso (MT);MT;Centro-oeste;Empregado (CLT);Agronegócios;Analista de BI/BI Analyst;;;Modelo 100% presencial;Análise de Dados
55;55+;Masculino;Branca;;;;;;;Rio de Janeiro (RJ);RJ;Sudeste;Empreendedor ou Empregado (CNPJ);Telecomunicação;Desenvolvedor/ Engenheiro de Software/ Analista de Sistemas;;;Modelo 100% remoto;Análise de Dados
32;30-34;Masculino;Parda;;;;;;;São Paulo (SP);SP;Sudeste;Desempregado, buscando recolocação;;;;;;Outra atuação
29;25-29;Feminino;Branca;Senioridade das vagas recebidas em relação à sua experiência, Aprovação em processos seletivos/entrevistas, Oportunidades de progressão de carreira, Atenção dada pelas pessoas diante das minhas opiniões e ideias;;;;1;0;São Paulo (SP);SP;Sudeste;Empregado (CLT);Finanças ou Bancos;Analista de Dados/Data Analyst;;;Modelo 100% remoto;Engenharia de Dados
37;35-39;Masculino;Parda;;;;;;;Santa Catarina (SC);SC;Sul;Empregado (CLT);Tecnologia/Fábrica de Software;Cientista de Dados/Data Scientist;;;Modelo 100% remoto;Ciência de Dados
28;25-29;Masculino;Branca;;;;;;;Paraná (PR);PR;Sul;Desempregado, buscando recolocação;;;;;;Buscando oportunidade na área de dados
28;25-29;Masculino;Preta;Relação com outros membros da empresa, em momentos de integração e outros momentos fora do trabalho, Relação com outros membros da empresa, em momentos de trabalho;;;;0;0;São Paulo (SP);SP;Sudeste;Empregado (CLT);Tecnologia/Fábrica de Software;Analista de Dados/Data Analyst;Falta de oportunidade de crescimento no emprego atual, Falta de maturidade analítica na empresa;1;Modelo híbrido com dias fixos de trabalho presencial;Análise de Dados
37;35-39;Feminino;Parda;;;;;;;São Paulo (SP);SP;Sudeste;Desempregado, buscando recolocação;;;;;;Buscando oportunidade na área de dados
31;30-34;Masculino;Branca;;;;;;;São Paulo (SP);SP;Sudeste;Empregado (CLT);Tecnologia/Fábrica de Software;;;;Modelo 100% remoto;Gestor
