Idade,Genero,Cor/raca/etnia,PCD,UF,Regiao onde mora,Nível de Ensino,Área de formação,Situação de trabalho
31,0,0,0,20,3,2,1,0
28,0,0,0,7,2,2,2,0
27,1,0,1,24,2,2,0,0
25,0,0,0,24,2,3,2,0
30,0,0,0,24,2,3,2,0
50,0,0,0,8,4,3,0,0
30,0,3,0,12,2,3,0,0
42,1,0,0,5,1,3,1,0
30,0,3,0,12,2,2,6,0
27,1,0,0,18,2,2,2,0
32,0,0,0,24,2,3,0,0
22,0,0,0,18,2,1,0,0
29,0,0,0,12,2,2,2,0
50,0,3,0,16,1,1,0,0
36,0,0,0,24,2,4,2,0
18,0,0,0,15,3,1,0,0
25,0,0,0,18,2,2,0,0
35,0,0,0,24,2,2,0,0
32,1,0,0,24,2,3,0,0
27,0,3,0,24,2,2,2,0
35,0,1,0,24,2,2,0,1
27,0,3,0,15,3,3,1,0
42,0,0,0,24,2,2,0,0
41,0,0,0,24,2,4,2,0
33,0,3,0,12,2,4,0,0
33,1,3,0,4,1,2,0,0
35,0,3,0,24,2,5,0,0
35,0,0,0,24,2,3,2,0
33,0,0,0,24,2,5,7,0
48,0,0,0,24,2,3,0,0
40,1,0,0,24,2,4,0,0
33,0,0,0,20,3,4,1,0
23,0,1,0,15,3,1,1,0
22,1,3,0,24,2,1,0,0
30,0,3,0,12,2,3,0,0
41,0,3,0,24,2,1,0,0
22,0,3,0,24,2,1,0,0
37,0,0,0,4,1,5,3,0
33,0,0,0,24,2,3,0,0
34,1,0,0,24,2,4,4,0
38,0,3,0,15,3,3,1,0
27,0,0,1,18,2,2,2,0
33,0,0,0,24,2,4,2,0
35,0,0,0,15,3,2,6,0
22,1,3,0,12,2,2,2,0
35,0,0,0,24,2,3,4,0
23,1,0,0,20,3,1,0,0
32,0,0,0,1,1,4,0,0
27,0,0,0,20,3,3,2,0
32,0,0,0,24,2,2,2,0
34,0,0,0,23,3,3,0,0
25,0,6,0,15,3,1,2,1
34,0,0,0,12,2,2,0,0
34,0,3,0,12,2,4,2,0
42,0,0,0,24,2,3,2,0
36,0,3,0,23,3,2,5,0
33,0,3,0,12,2,2,0,0
30,0,3,0,5,1,3,0,0
40,0,1,0,18,2,4,0,0
28,0,0,0,24,2,5,7,0
34,1,3,0,16,1,5,7,0
33,0,0,0,18,2,5,2,0
28,1,2,0,24,2,2,1,0
41,0,0,1,24,2,2,0,0
31,0,0,0,24,2,3,0,0
36,0,0,0,12,2,2,0,0
28,0,0,0,24,2,2,1,0
36,1,0,0,24,2,2,5,0
31,1,0,0,24,2,4,7,0
35,0,0,0,15,3,2,0,0
35,1,0,0,24,2,3,0,0
24,0,3,0,12,2,2,1,0
26,1,0,0,12,2,2,0,0
24,0,3,0,24,2,3,4,0
35,1,0,0,4,1,3,2,0
44,0,0,0,15,3,3,0,0
33,1,0,0,12,2,2,2,0
29,1,0,0,24,2,3,4,0
36,1,1,0,24,2,3,6,0
31,1,5,0,24,2,3,0,0
27,0,0,0,12,2,2,2,0
34,0,0,0,24,2,4,1,0
26,1,0,0,24,2,2,0,0
20,0,0,0,24,2,1,0,1
25,0,0,1,15,3,2,0,0
30,1,0,0,24,2,3,0,0
37,0,3,0,24,2,2,2,0
29,0,0,0,23,3,3,0,0
27,0,0,0,24,2,3,0,0
27,0,0,0,24,2,2,0,0
42,1,3,0,18,2,3,0,0
47,0,3,0,24,2,3,0,0
29,0,0,0,24,2,3,0,0
23,0,0,0,24,2,2,1,0
30,1,0,0,24,2,1,2,0
31,0,1,0,6,4,2,2,1
33,0,2,0,24,2,2,5,0
26,1,0,0,15,3,2,4,0
24,0,3,0,12,2,1,4,0
41,0,0,0,11,4,2,0,0
22,0,3,0,7,2,1,1,0
30,0,2,0,12,2,2,0,0
44,0,0,0,20,3,3,0,0
30,0,4,0,10,4,1,4,0
26,0,1,0,7,2,1,2,0
30,1,0,0,24,2,3,0,0
40,0,0,0,24,2,3,0,0
36,0,3,0,15,3,3,0,0
38,0,0,0,24,2,2,0,0
35,0,1,0,8,4,1,0,0
36,0,3,0,24,2,3,4,0
29,1,0,0,12,2,2,2,0
23,1,3,0,18,2,2,4,0
25,0,0,0,5,1,3,2,0
32,0,0,0,24,2,3,0,0
30,1,0,1,1,1,2,2,0
32,0,0,0,12,2,2,0,0
29,0,3,0,24,2,3,2,0
31,1,0,0,12,2,4,2,0
36,0,3,0,23,3,2,0,0
29,1,0,0,12,2,2,0,1
25,0,0,0,24,2,3,6,0
38,0,0,0,24,2,4,3,0
53,1,2,1,24,2,3,1,0
42,0,0,0,24,2,3,0,0
29,0,0,0,18,2,2,1,0
22,0,0,0,15,3,2,0,0
39,1,0,0,14,1,1,0,1
27,0,0,0,23,3,2,2,0
29,0,0,0,24,2,2,2,0
47,1,3,0,5,1,3,0,0
57,0,3,0,10,4,2,2,0
32,0,0,0,23,3,3,0,0
27,0,3,0,24,2,3,0,0
60,0,0,0,18,2,4,4,0
28,1,0,0,18,2,1,0,0
42,0,3,0,18,2,4,7,0
29,1,0,1,15,3,2,2,0
57,0,0,0,24,2,3,0,0
37,0,0,0,24,2,4,4,0
27,0,0,0,24,2,3,2,0
29,0,0,0,25,1,4,1,0
44,0,3,0,15,3,3,0,0
20,0,3,0,16,1,1,1,0
27,0,3,1,24,2,2,4,0
41,0,0,0,24,2,3,0,0
27,0,0,0,24,2,3,0,0
29,0,0,0,24,2,2,1,0
28,0,1,0,24,2,2,0,0
51,0,3,0,12,2,3,1,0
40,0,3,0,24,2,3,2,0
26,0,0,0,24,2,2,0,0
25,0,0,0,12,2,1,2,0
44,0,0,0,15,3,2,0,0
30,0,0,0,23,3,4,2,0
39,0,0,0,4,1,3,0,0
21,0,3,0,24,2,1,0,0
30,0,0,0,12,2,3,2,0
34,0,3,0,18,2,2,1,0
26,0,1,0,1,1,2,0,1
28,0,0,0,24,2,2,0,0
25,0,0,0,18,2,2,4,0
31,0,0,0,20,3,3,2,0
27,1,0,0,15,3,2,0,0
29,1,3,0,24,2,3,1,0
25,0,3,0,1,1,2,0,0
37,0,0,0,15,3,3,0,0
28,1,1,0,10,4,2,0,0
55,0,0,0,18,2,3,1,0
32,0,3,0,24,2,3,0,1
29,1,0,0,24,2,3,0,0
37,0,3,0,23,3,4,2,0
28,0,0,0,15,3,2,0,1
28,0,1,0,24,2,1,2,0
37,1,3,0,24,2,1,0,1
31,0,0,0,24,2,3,0,0
26,0,0,0,12,2,1,2,0
31,0,0,0,24,2,2,2,0
27,0,0,0,15,3,3,0,1
30,1,3,0,24,2,3,0,1
31,0,0,0,5,1,4,1,1
26,0,0,0,19,1,3,4,0
34,0,3,0,1,1,2,0,0
44,0,0,0,18,2,4,0,1
38,0,3,0,24,2,3,7,0
40,0,1,0,24,2,3,0,0
23,0,0,0,15,3,1,0,0
28,1,3,0,12,2,2,0,0
40,0,3,0,5,1,3,1,0
43,0,3,0,9,1,3,0,0
23,1,0,1,24,2,1,3,0
38,0,3,0,24,2,3,1,0
36,0,0,0,20,3,2,0,0
24,1,0,0,12,2,2,1,0
30,1,0,0,24,2,4,0,0
23,0,0,0,4,1,1,0,0
23,0,0,1,15,3,1,0,0
27,1,0,0,24,2,2,0,0
29,0,0,0,6,4,4,4,0
31,0,1,0,1,1,5,3,0
50,0,0,0,4,1,3,0,0
29,1,0,0,19,1,3,2,0
35,1,3,0,15,3,3,2,0
46,1,0,0,24,2,3,1,1
30,0,0,0,20,3,3,0,0
27,1,0,0,4,1,2,1,1
21,0,0,0,20,3,1,0,1
